date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:16:40	35161/35161	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Nov%202021%2017:37:39%20GMT	https://marketifythemes.net/html/3/index-dark.html	C:/xampp/htdocs/portofoliodyy/Port/marketifythemes.net/html/3/index-dark.html	(from )
14:16:41	1144/1144	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jun%202021%2015:22:04%20GMT	https://marketifythemes.net/robots.txt		(from )
14:16:42	136990/136990	---M-Z	200	added ('OK')	text/css	etag:%222171e-61a3be6a-9a8048f0b8f7e66f;gz%22	https://marketifythemes.net/html/3/css/plugins.css	C:/xampp/htdocs/portofoliodyy/Port/marketifythemes.net/html/3/css/plugins.css	(from https://marketifythemes.net/html/3/index-dark.html)
14:16:43	8870/8870	---M-Z	200	added ('OK')	text/css	etag:%2222a6-61a3be68-7eb75a56949e989a;gz%22	https://marketifythemes.net/html/3/css/dark.css	C:/xampp/htdocs/portofoliodyy/Port/marketifythemes.net/html/3/css/dark.css	(from https://marketifythemes.net/html/3/index-dark.html)
14:16:44	133784/133784	---M-Z	200	added ('OK')	text/css	etag:%2220a98-61a3c357-b32b4fbaee4f023b;gz%22	https://marketifythemes.net/html/3/css/style.css	C:/xampp/htdocs/portofoliodyy/Port/marketifythemes.net/html/3/css/style.css	(from https://marketifythemes.net/html/3/index-dark.html)
14:16:44	1615/1615	---M-Z	200	added ('OK')	image/svg+xml	etag:%2264f-61a3be81-945d4d026f3f6e0d;gz%22	https://marketifythemes.net/html/3/img/svg/cancel.svg	C:/xampp/htdocs/portofoliodyy/Port/marketifythemes.net/html/3/img/svg/cancel.svg	(from https://marketifythemes.net/html/3/index-dark.html)
14:16:45	4325/4325	---M--	200	added ('OK')	image/png	etag:%2210e5-61a3be7d-517d5d6aa5f0395a;;;%22	https://marketifythemes.net/html/3/img/logo/light.png	C:/xampp/htdocs/portofoliodyy/Port/marketifythemes.net/html/3/img/logo/light.png	(from https://marketifythemes.net/html/3/index-dark.html)
14:16:46	337/337	---M-Z	200	added ('OK')	image/svg+xml	etag:%22151-61a3be84-e71a0456971b4414;gz%22	https://marketifythemes.net/html/3/img/svg/social/facebook.svg	C:/xampp/htdocs/portofoliodyy/Port/marketifythemes.net/html/3/img/svg/social/facebook.svg	(from https://marketifythemes.net/html/3/index-dark.html)
14:16:47	1386/1386	---M-Z	200	added ('OK')	image/svg+xml	etag:%2256a-61a3be85-c5514af196614451;gz%22	https://marketifythemes.net/html/3/img/svg/social/twitter.svg	C:/xampp/htdocs/portofoliodyy/Port/marketifythemes.net/html/3/img/svg/social/twitter.svg	(from https://marketifythemes.net/html/3/index-dark.html)
14:16:47	854/854	---M-Z	200	added ('OK')	image/svg+xml	etag:%22356-61a3be85-44d65937c45c0be4;gz%22	https://marketifythemes.net/html/3/img/svg/social/youtube.svg	C:/xampp/htdocs/portofoliodyy/Port/marketifythemes.net/html/3/img/svg/social/youtube.svg	(from https://marketifythemes.net/html/3/index-dark.html)
